ID,SCHL,SCHG,POVPIP,WKL,FOD1P
1,10,10,0,0,0
2,21,0,0,3,6402
3,16,15,0,3,0
4,19,15,0,3,0
5,16,15,0,3,0
6,16,15,0,1,0
7,18,0,0,3,0
8,21,15,0,1,4101
9,16,15,0,1,0
10,22,16,0,2,4801
11,1,0,70,3,0
12,16,15,0,3,0
13,16,0,130,3,0
14,12,12,0,3,0
15,16,15,0,1,0
16,19,15,0,1,0
17,19,15,0,1,0
18,16,15,0,1,0
19,10,10,0,0,0
20,16,15,0,1,0
21,16,15,0,1,0
22,16,15,0,3,0
23,19,15,0,1,0
24,9,0,130,3,0
25,16,15,0,1,0
26,16,0,0,3,0
27,16,0,130,3,0
28,16,0,0,1,0
29,22,16,0,1,5506
30,16,0,0,1,0
31,19,15,0,2,0
32,16,15,0,1,0
33,22,0,0,3,2304
34,13,12,0,3,0
35,24,0,93,1,3700
36,19,0,130,3,0
37,16,15,0,3,0
38,19,15,0,1,0
39,19,15,0,3,0
40,16,0,0,1,0
41,22,16,0,2,4801
42,15,0,0,3,0
43,19,15,0,1,0
44,19,0,0,3,0
45,16,15,0,3,0
46,18,15,0,3,0
47,21,0,423,1,2300
48,16,15,0,1,0
49,19,15,0,1,0
50,16,15,0,1,0
51,16,0,0,3,0
52,19,15,0,1,0
53,16,0,0,1,0
54,16,15,0,2,0
55,19,15,0,1,0
56,14,13,52,3,0
57,1,0,76,3,0
58,16,15,0,1,0
59,16,0,0,2,0
60,8,0,0,3,0
61,11,11,0,3,0
62,17,0,0,2,0
63,19,15,0,1,0
64,13,0,0,3,0
65,17,0,0,3,0
66,16,15,0,1,0
67,1,0,0,3,0
68,19,15,0,1,0
69,19,15,0,1,0
70,16,15,0,1,0
71,16,15,0,1,0
72,18,15,0,2,0
73,19,15,0,1,0
74,18,15,0,1,0
75,16,15,0,1,0
76,16,15,0,1,0
77,19,15,0,1,0
78,19,15,0,3,0
79,19,15,0,1,0
80,16,15,0,3,0
81,16,15,0,1,0
82,18,15,0,1,0
83,16,15,0,3,0
84,16,0,27,3,0
85,16,15,0,1,0
86,19,15,0,1,0
87,16,15,0,1,0
88,11,0,0,2,0
89,19,15,0,2,0
90,11,0,130,3,0
91,19,15,0,1,0
92,17,0,0,1,0
93,18,15,0,1,0
94,14,14,0,2,0
95,19,15,0,3,0
96,16,0,0,2,0
97,18,15,0,3,0
98,16,15,0,3,0
99,16,0,0,3,0
100,21,0,0,3,6200
101,18,15,0,2,0
102,8,0,0,3,0
103,14,13,52,3,0
104,19,15,0,1,0
105,21,0,0,3,6200
106,21,0,0,1,2601
107,19,15,0,1,0
108,18,15,0,1,0
109,19,0,130,3,0
110,18,15,0,3,0
111,16,15,0,1,0
112,16,0,65,1,0
113,18,0,0,1,0
114,18,15,0,1,0
115,19,15,0,1,0
116,21,16,0,1,5507
117,16,15,0,2,0
118,19,15,0,1,0
119,16,15,0,1,0
120,19,15,0,1,0
121,16,0,1,2,0
122,16,15,0,1,0
