SCHL,SCHG,POVPIP,WKL,FOD1P
18.0,15.0,,1.0,
1.0,,166.0,1.0,
11.0,11.0,,1.0,
9.0,9.0,,,
16.0,,,2.0,
16.0,15.0,,1.0,
16.0,,,3.0,
12.0,,1.0,1.0,
17.0,,,3.0,
16.0,,,2.0,
19.0,15.0,,1.0,
16.0,,93.0,3.0,
21.0,,,1.0,5200.0
16.0,15.0,,1.0,
5.0,,,3.0,
14.0,,,3.0,
19.0,15.0,,1.0,
20.0,,58.0,1.0,
13.0,13.0,,2.0,
21.0,,9.0,1.0,2102.0
14.0,15.0,,1.0,
16.0,15.0,,1.0,
9.0,9.0,,,
18.0,,,3.0,
16.0,15.0,,1.0,
21.0,,,3.0,1302.0
16.0,,7.0,1.0,
19.0,15.0,,1.0,
11.0,,,3.0,
16.0,15.0,,1.0,
19.0,,93.0,3.0,
19.0,15.0,,1.0,
16.0,,57.0,1.0,
21.0,,40.0,1.0,5505.0
14.0,14.0,,1.0,
19.0,15.0,,1.0,
14.0,13.0,,3.0,
16.0,,49.0,1.0,
1.0,,78.0,3.0,
21.0,,,1.0,6200.0
1.0,,,3.0,
19.0,,17.0,1.0,
19.0,15.0,,1.0,
19.0,,,3.0,
19.0,15.0,,1.0,
18.0,15.0,,1.0,
20.0,,58.0,1.0,
16.0,,93.0,3.0,
18.0,15.0,,1.0,
16.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,15.0,,1.0,
16.0,15.0,,1.0,
19.0,15.0,,3.0,
12.0,,,3.0,
16.0,,49.0,1.0,
16.0,,93.0,3.0,
14.0,14.0,,3.0,
13.0,,,3.0,
19.0,15.0,,1.0,
1.0,,73.0,3.0,
18.0,,69.0,3.0,
9.0,9.0,,,
16.0,,61.0,1.0,
16.0,,46.0,1.0,
22.0,,,3.0,6000.0
18.0,15.0,,2.0,
21.0,16.0,,2.0,3600.0
12.0,,1.0,1.0,
19.0,,0.0,2.0,
16.0,,90.0,1.0,
16.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,15.0,,1.0,
16.0,,,3.0,
19.0,15.0,,1.0,
16.0,,,3.0,
16.0,15.0,,1.0,
19.0,,98.0,3.0,
20.0,,,2.0,
13.0,13.0,,2.0,
12.0,11.0,,,
21.0,,9.0,1.0,2102.0
19.0,15.0,,1.0,
16.0,,93.0,3.0,
20.0,,58.0,1.0,
18.0,,39.0,1.0,
16.0,,,3.0,
18.0,15.0,,3.0,
17.0,,,1.0,
17.0,,,1.0,
12.0,,1.0,1.0,
12.0,11.0,,,
19.0,15.0,,1.0,
18.0,15.0,,1.0,
9.0,9.0,,,
19.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,15.0,,1.0,
16.0,,,3.0,
19.0,15.0,,1.0,
14.0,,,3.0,
19.0,15.0,207.0,1.0,
17.0,,,1.0,
10.0,,,2.0,
18.0,15.0,,1.0,
16.0,,90.0,1.0,
18.0,15.0,,1.0,
9.0,9.0,,,
22.0,,,1.0,3301.0
16.0,,,3.0,
21.0,,,1.0,3301.0
19.0,,98.0,3.0,
18.0,15.0,,3.0,
16.0,15.0,,1.0,
18.0,15.0,,1.0,
18.0,,,3.0,
16.0,,,3.0,
16.0,15.0,,1.0,
19.0,15.0,,1.0,
19.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,,,3.0,
16.0,15.0,,1.0,
19.0,,,3.0,
19.0,15.0,,1.0,
16.0,15.0,,1.0,
1.0,,78.0,3.0,
16.0,,69.0,3.0,
16.0,,,1.0,
16.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,,80.0,3.0,
16.0,,,3.0,
21.0,,,1.0,5200.0
19.0,,0.0,2.0,
18.0,15.0,,1.0,
16.0,,69.0,3.0,
16.0,15.0,,1.0,
16.0,15.0,,1.0,
16.0,15.0,,1.0,
11.0,,203.0,3.0,
19.0,,33.0,3.0,
16.0,15.0,,1.0,
16.0,,,3.0,
18.0,15.0,,1.0,
17.0,,,3.0,
21.0,,,1.0,5200.0
9.0,9.0,,,
16.0,,,3.0,
19.0,15.0,,1.0,
1.0,,,3.0,
16.0,15.0,,3.0,
17.0,,,3.0,
16.0,,49.0,1.0,
19.0,,,3.0,
20.0,,58.0,1.0,
16.0,,,3.0,
16.0,,,3.0,
16.0,,,3.0,
16.0,,,3.0,
11.0,,74.0,3.0,
18.0,15.0,,1.0,
16.0,15.0,,1.0,
12.0,,1.0,1.0,
19.0,,,3.0,
19.0,,55.0,3.0,
18.0,,,3.0,
18.0,15.0,,3.0,
16.0,,,3.0,
19.0,15.0,,1.0,
17.0,,,3.0,
1.0,,78.0,3.0,
19.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,,,1.0,
16.0,15.0,,1.0,
16.0,,,2.0,
19.0,15.0,,1.0,
16.0,,,3.0,
16.0,15.0,,3.0,
19.0,15.0,,1.0,
16.0,15.0,,2.0,
14.0,13.0,,3.0,
11.0,,,3.0,
16.0,,,3.0,
16.0,,,3.0,
19.0,15.0,,1.0,
19.0,,,1.0,
12.0,,,1.0,
19.0,15.0,,1.0,
19.0,15.0,,1.0,
19.0,15.0,207.0,1.0,
19.0,15.0,,1.0,
16.0,15.0,,3.0,
19.0,,,1.0,
14.0,,,3.0,
16.0,,,3.0,
16.0,,93.0,3.0,
18.0,15.0,,1.0,
18.0,15.0,,1.0,
12.0,,1.0,1.0,
16.0,15.0,,3.0,
16.0,,,3.0,
19.0,,33.0,3.0,
16.0,15.0,,1.0,
16.0,,,2.0,
16.0,15.0,,1.0,
1.0,,73.0,3.0,
19.0,15.0,,1.0,
12.0,11.0,,,
16.0,15.0,,3.0,
22.0,,,3.0,6402.0
13.0,13.0,,3.0,
16.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,,61.0,1.0,
22.0,,,3.0,6200.0
