ID,SCHL,SCHG,POVPIP,WKL,FOD1P
1,18,15,0,1,0
2,1,0,166,1,0
3,11,11,0,1,0
4,9,9,0,0,0
5,16,0,0,2,0
6,16,15,0,1,0
7,16,0,0,3,0
8,12,0,1,1,0
9,17,0,0,3,0
10,16,0,0,2,0
11,19,15,0,1,0
12,16,0,93,3,0
13,21,0,0,1,5200
14,16,15,0,1,0
15,5,0,0,3,0
16,14,0,0,3,0
17,19,15,0,1,0
18,20,0,58,1,0
19,13,13,0,2,0
20,21,0,9,1,2102
21,14,15,0,1,0
22,16,15,0,1,0
23,9,9,0,0,0
24,18,0,0,3,0
25,16,15,0,1,0
26,21,0,0,3,1302
27,16,0,7,1,0
28,19,15,0,1,0
29,11,0,0,3,0
30,16,15,0,1,0
31,19,0,93,3,0
32,19,15,0,1,0
33,16,0,57,1,0
34,21,0,40,1,5505
35,14,14,0,1,0
36,19,15,0,1,0
37,14,13,0,3,0
38,16,0,49,1,0
39,1,0,78,3,0
40,21,0,0,1,6200
41,1,0,0,3,0
42,19,0,17,1,0
43,19,15,0,1,0
44,19,0,0,3,0
45,19,15,0,1,0
46,18,15,0,1,0
47,20,0,58,1,0
48,16,0,93,3,0
49,18,15,0,1,0
50,16,15,0,1,0
51,19,15,0,1,0
52,16,15,0,1,0
53,16,15,0,1,0
54,19,15,0,3,0
55,12,0,0,3,0
56,16,0,49,1,0
57,16,0,93,3,0
58,14,14,0,3,0
59,13,0,0,3,0
60,19,15,0,1,0
61,1,0,73,3,0
62,18,0,69,3,0
63,9,9,0,0,0
64,16,0,61,1,0
65,16,0,46,1,0
66,22,0,0,3,6000
67,18,15,0,2,0
68,21,16,0,2,3600
69,12,0,1,1,0
70,19,0,0,2,0
71,16,0,90,1,0
72,16,15,0,1,0
73,19,15,0,1,0
74,16,15,0,1,0
75,16,0,0,3,0
76,19,15,0,1,0
77,16,0,0,3,0
78,16,15,0,1,0
79,19,0,98,3,0
80,20,0,0,2,0
81,13,13,0,2,0
82,12,11,0,0,0
83,21,0,9,1,2102
84,19,15,0,1,0
85,16,0,93,3,0
86,20,0,58,1,0
87,18,0,39,1,0
88,16,0,0,3,0
89,18,15,0,3,0
90,17,0,0,1,0
91,17,0,0,1,0
92,12,0,1,1,0
93,12,11,0,0,0
94,19,15,0,1,0
95,18,15,0,1,0
96,9,9,0,0,0
97,19,15,0,1,0
98,19,15,0,1,0
99,16,15,0,1,0
100,16,0,0,3,0
101,19,15,0,1,0
102,14,0,0,3,0
103,19,15,207,1,0
104,17,0,0,1,0
105,10,0,0,2,0
106,18,15,0,1,0
107,16,0,90,1,0
108,18,15,0,1,0
109,9,9,0,0,0
110,22,0,0,1,3301
111,16,0,0,3,0
112,21,0,0,1,3301
113,19,0,98,3,0
114,18,15,0,3,0
115,16,15,0,1,0
116,18,15,0,1,0
117,18,0,0,3,0
118,16,0,0,3,0
119,16,15,0,1,0
120,19,15,0,1,0
121,19,15,0,1,0
122,19,15,0,1,0
123,16,0,0,3,0
124,16,15,0,1,0
125,19,0,0,3,0
126,19,15,0,1,0
127,16,15,0,1,0
128,1,0,78,3,0
129,16,0,69,3,0
130,16,0,0,1,0
131,16,15,0,1,0
132,19,15,0,1,0
133,16,0,80,3,0
134,16,0,0,3,0
135,21,0,0,1,5200
136,19,0,0,2,0
137,18,15,0,1,0
138,16,0,69,3,0
139,16,15,0,1,0
140,16,15,0,1,0
141,16,15,0,1,0
142,11,0,203,3,0
143,19,0,33,3,0
144,16,15,0,1,0
145,16,0,0,3,0
146,18,15,0,1,0
147,17,0,0,3,0
148,21,0,0,1,5200
149,9,9,0,0,0
150,16,0,0,3,0
151,19,15,0,1,0
152,1,0,0,3,0
153,16,15,0,3,0
154,17,0,0,3,0
155,16,0,49,1,0
156,19,0,0,3,0
157,20,0,58,1,0
158,16,0,0,3,0
159,16,0,0,3,0
160,16,0,0,3,0
161,16,0,0,3,0
162,11,0,74,3,0
163,18,15,0,1,0
164,16,15,0,1,0
165,12,0,1,1,0
166,19,0,0,3,0
167,19,0,55,3,0
168,18,0,0,3,0
169,18,15,0,3,0
170,16,0,0,3,0
171,19,15,0,1,0
172,17,0,0,3,0
173,1,0,78,3,0
174,19,15,0,1,0
175,19,15,0,1,0
176,16,0,0,1,0
177,16,15,0,1,0
178,16,0,0,2,0
179,19,15,0,1,0
180,16,0,0,3,0
181,16,15,0,3,0
182,19,15,0,1,0
183,16,15,0,2,0
184,14,13,0,3,0
185,11,0,0,3,0
186,16,0,0,3,0
187,16,0,0,3,0
188,19,15,0,1,0
189,19,0,0,1,0
190,12,0,0,1,0
191,19,15,0,1,0
192,19,15,0,1,0
193,19,15,207,1,0
194,19,15,0,1,0
195,16,15,0,3,0
196,19,0,0,1,0
197,14,0,0,3,0
198,16,0,0,3,0
199,16,0,93,3,0
200,18,15,0,1,0
201,18,15,0,1,0
202,12,0,1,1,0
203,16,15,0,3,0
204,16,0,0,3,0
205,19,0,33,3,0
206,16,15,0,1,0
207,16,0,0,2,0
208,16,15,0,1,0
209,1,0,73,3,0
210,19,15,0,1,0
211,12,11,0,0,0
212,16,15,0,3,0
213,22,0,0,3,6402
214,13,13,0,3,0
215,16,15,0,1,0
216,19,15,0,1,0
217,16,0,61,1,0
218,22,0,0,3,6200
219,16,0,0,2,0
220,16,0,0,3,0
221,16,15,0,1,0
222,19,15,0,1,0
223,14,15,0,3,0
224,19,0,120,1,0
225,19,15,207,1,0
226,14,0,0,3,0
227,18,0,69,3,0
228,15,15,0,3,0
229,19,15,0,1,0
230,19,0,0,1,0
231,12,0,0,3,0
232,14,15,0,1,0
233,19,15,0,1,0
