SCHL,SCHG,POVPIP,WKL,FOD1P
10,10,0,0,0
21,0,0,3,6402
16,15,0,3,0
19,15,0,3,0
16,15,0,3,0
16,15,0,1,0
18,0,0,3,0
21,15,0,1,4101
16,15,0,1,0
22,16,0,2,4801
1,0,70,3,0
16,15,0,3,0
16,0,130,3,0
12,12,0,3,0
16,15,0,1,0
19,15,0,1,0
19,15,0,1,0
16,15,0,1,0
10,10,0,0,0
16,15,0,1,0
16,15,0,1,0
16,15,0,3,0
19,15,0,1,0
9,0,130,3,0
16,15,0,1,0
16,0,0,3,0
16,0,130,3,0
16,0,0,1,0
22,16,0,1,5506
16,0,0,1,0
19,15,0,2,0
16,15,0,1,0
22,0,0,3,2304
13,12,0,3,0
24,0,93,1,3700
19,0,130,3,0
16,15,0,3,0
19,15,0,1,0
19,15,0,3,0
16,0,0,1,0
22,16,0,2,4801
15,0,0,3,0
19,15,0,1,0
19,0,0,3,0
16,15,0,3,0
18,15,0,3,0
21,0,423,1,2300
16,15,0,1,0
19,15,0,1,0
16,15,0,1,0
16,0,0,3,0
19,15,0,1,0
16,0,0,1,0
16,15,0,2,0
19,15,0,1,0
14,13,52,3,0
1,0,76,3,0
16,15,0,1,0
16,0,0,2,0
8,0,0,3,0
11,11,0,3,0
17,0,0,2,0
19,15,0,1,0
13,0,0,3,0
17,0,0,3,0
16,15,0,1,0
1,0,0,3,0
19,15,0,1,0
19,15,0,1,0
16,15,0,1,0
16,15,0,1,0
18,15,0,2,0
19,15,0,1,0
18,15,0,1,0
16,15,0,1,0
16,15,0,1,0
19,15,0,1,0
19,15,0,3,0
19,15,0,1,0
16,15,0,3,0
16,15,0,1,0
18,15,0,1,0
16,15,0,3,0
16,0,27,3,0
16,15,0,1,0
19,15,0,1,0
16,15,0,1,0
11,0,0,2,0
19,15,0,2,0
11,0,130,3,0
19,15,0,1,0
17,0,0,1,0
18,15,0,1,0
14,14,0,2,0
19,15,0,3,0
16,0,0,2,0
18,15,0,3,0
16,15,0,3,0
16,0,0,3,0
21,0,0,3,6200
18,15,0,2,0
8,0,0,3,0
14,13,52,3,0
19,15,0,1,0
21,0,0,3,6200
21,0,0,1,2601
19,15,0,1,0
18,15,0,1,0
19,0,130,3,0
18,15,0,3,0
16,15,0,1,0
16,0,65,1,0
18,0,0,1,0
18,15,0,1,0
19,15,0,1,0
21,16,0,1,5507
16,15,0,2,0
19,15,0,1,0
16,15,0,1,0
19,15,0,1,0
16,0,1,2,0
16,15,0,1,0
19,15,0,1,0
19,15,0,2,0
24,0,42,1,4801
20,15,0,1,0
16,0,0,3,0
18,15,0,2,0
16,15,0,1,0
16,15,0,1,0
18,0,85,2,0
16,15,0,3,0
18,15,0,1,0
21,0,129,1,2300
16,0,130,3,0
18,15,0,1,0
18,15,0,1,0
10,10,0,0,0
1,0,74,3,0
14,0,0,3,0
16,0,64,3,0
18,15,0,1,0
16,15,61,1,0
13,0,0,2,0
16,15,0,1,0
19,15,0,1,0
19,0,0,3,0
16,0,130,3,0
16,0,43,1,0
16,0,156,1,0
22,0,0,3,5506
18,15,0,2,0
18,15,0,1,0
16,15,0,1,0
11,0,130,3,0
19,15,0,2,0
18,15,0,1,0
19,15,0,1,0
16,15,0,1,0
18,15,0,1,0
14,0,0,1,0
19,15,0,1,0
19,0,130,3,0
16,15,0,1,0
19,15,0,1,0
18,15,0,1,0
16,15,0,1,0
1,0,27,3,0
16,15,0,1,0
16,0,0,3,0
12,12,0,0,0
19,0,0,3,0
21,16,0,1,4801
22,0,0,3,2304
21,0,0,3,2304
12,0,0,3,0
16,15,0,3,0
16,0,0,3,0
8,0,117,1,0
1,0,74,3,0
14,13,0,3,0
16,15,0,1,0
16,15,0,1,0
16,15,0,1,0
16,0,0,1,0
11,0,62,2,0
19,15,0,1,0
19,15,0,1,0
15,0,0,3,0
16,15,0,2,0
19,15,0,1,0
8,0,0,3,0
